id,title,description,category,brand,color,size,material,price,rating
428,Running Shoes Model 428,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Green,11,Synthetic,6392,4.8
429,Laptop Model 429,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Black,15.6 inch,Synthetic,67746,4.6
430,Wireless Headphones Model 430,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Red,Standard,Plastic,4088,4.9
431,Running Shoes Model 431,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Blue,6,Plastic,5257,4.7
432,Wireless Headphones Model 432,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Green,Standard,Mesh,8352,4.6
433,Laptop Model 433,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Gray,14 inch,Plastic,69233,3.9
434,Running Shoes Model 434,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Blue,11,Synthetic,6073,4.8
435,Wireless Headphones Model 435,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Gray,Standard,Mesh,14828,4.1
436,Running Shoes Model 436,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Red,11,Synthetic,3869,4.0
437,Running Shoes Model 437,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,Red,11,Aluminum,7169,4.2
438,Running Shoes Model 438,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Gray,10,Mesh,4956,5.0
439,Wireless Headphones Model 439,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Blue,Standard,Glass,6698,4.6
440,Running Shoes Model 440,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Gray,7,Mesh,4990,4.3
441,Wireless Headphones Model 441,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Blue,Standard,Leather,2003,4.6
442,Running Shoes Model 442,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Sony,Red,9,Aluminum,7745,4.5
443,Laptop Model 443,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,White,14 inch,Mesh,51938,4.2
444,Running Shoes Model 444,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,Red,10,Synthetic,2880,3.8
445,Wireless Headphones Model 445,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Green,Standard,Aluminum,6440,4.6
446,Running Shoes Model 446,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Gray,6,Plastic,6233,4.9
447,Running Shoes Model 447,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,White,11,Synthetic,5566,3.9
448,Wireless Headphones Model 448,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,Gray,Standard,Leather,3791,3.6
449,Running Shoes Model 449,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,White,8,Leather,4022,4.5
450,Laptop Model 450,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Blue,15.6 inch,Plastic,87192,4.4
451,Wireless Headphones Model 451,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Green,Standard,Synthetic,9834,3.9
452,Wireless Headphones Model 452,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Blue,Standard,Plastic,9448,4.0
453,Running Shoes Model 453,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,White,7,Synthetic,5740,4.6
454,Running Shoes Model 454,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Red,6,Plastic,5286,4.7
455,Laptop Model 455,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Blue,13 inch,Leather,114416,4.8
456,Wireless Headphones Model 456,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Green,Standard,Plastic,8808,3.9
457,Laptop Model 457,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,White,15.6 inch,Leather,99009,4.0
458,Running Shoes Model 458,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Gray,7,Aluminum,7978,4.6
459,Running Shoes Model 459,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Blue,10,Leather,7740,4.1
460,Laptop Model 460,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Green,13 inch,Aluminum,109634,4.2
461,Wireless Headphones Model 461,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,White,Standard,Glass,6669,4.1
462,Laptop Model 462,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Adidas,Red,15.6 inch,Leather,74839,3.8
463,Running Shoes Model 463,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Black,10,Synthetic,5312,4.1
464,Wireless Headphones Model 464,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Gray,Standard,Glass,12228,4.4
465,Wireless Headphones Model 465,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Red,Standard,Synthetic,14529,3.7
466,Wireless Headphones Model 466,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Red,Standard,Plastic,13024,4.3
467,Wireless Headphones Model 467,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Black,Standard,Synthetic,7846,4.1
468,Laptop Model 468,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Green,13 inch,Synthetic,101978,4.4
469,Wireless Headphones Model 469,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,White,Standard,Mesh,3262,4.7
470,Wireless Headphones Model 470,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Black,Standard,Glass,11875,4.5
471,Wireless Headphones Model 471,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,White,Standard,Plastic,3823,4.1
472,Wireless Headphones Model 472,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Red,Standard,Leather,14201,3.7
473,Wireless Headphones Model 473,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Black,Standard,Aluminum,6599,4.2
474,Running Shoes Model 474,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,White,7,Aluminum,3913,5.0
475,Laptop Model 475,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,White,14 inch,Glass,119872,4.4
476,Laptop Model 476,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Black,14 inch,Mesh,108094,4.0
477,Wireless Headphones Model 477,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Red,Standard,Aluminum,10028,3.6
478,Laptop Model 478,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Gray,13 inch,Plastic,97932,3.5
479,Wireless Headphones Model 479,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Blue,Standard,Synthetic,8178,4.8
480,Running Shoes Model 480,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Blue,8,Leather,3595,3.6
481,Running Shoes Model 481,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Green,11,Aluminum,5030,4.2
482,Running Shoes Model 482,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Green,8,Plastic,7172,3.7
483,Laptop Model 483,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,Red,15.6 inch,Synthetic,61094,3.6
484,Wireless Headphones Model 484,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Green,Standard,Plastic,12891,4.0
485,Laptop Model 485,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,HP,Blue,13 inch,Aluminum,39709,4.6
486,Laptop Model 486,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Blue,13 inch,Synthetic,75754,4.1
487,Laptop Model 487,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Green,15.6 inch,Mesh,119358,4.2
488,Running Shoes Model 488,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Black,10,Synthetic,2568,4.7
489,Laptop Model 489,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Boat,Black,14 inch,Aluminum,104499,4.2
490,Running Shoes Model 490,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Gray,8,Aluminum,7711,4.3
491,Wireless Headphones Model 491,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Blue,Standard,Aluminum,2991,4.5
492,Laptop Model 492,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,White,15.6 inch,Glass,61525,4.2
493,Running Shoes Model 493,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Green,6,Plastic,4762,4.7
494,Running Shoes Model 494,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Gray,10,Plastic,7002,3.7
495,Wireless Headphones Model 495,Noise cancelling wireless headphones with long battery life.,Accessories,HP,White,Standard,Mesh,4515,4.6
496,Laptop Model 496,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Gray,13 inch,Glass,38500,4.4
497,Laptop Model 497,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,White,15.6 inch,Mesh,81150,3.7
498,Laptop Model 498,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Gray,13 inch,Mesh,52006,3.6
499,Running Shoes Model 499,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,Gray,11,Synthetic,2978,4.1
500,Wireless Headphones Model 500,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,Black,Standard,Aluminum,7879,4.1
